SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,USA_GUST,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR,Month,ENSO_Value_x,ENSO_Value_y,ENSO_Value,SST
1950224N17305,1950,58,,,ABLE,1950-08-14 18:00:00,TS,23.9,-66.0,65,989,hurdat_atl,main,615,615,O_____________,hurdat_atl,AL011950,23.9,-66.0, ,HU,65,989,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,327,Aug,1.07,1.07,1.07,25.232561
1950224N17305,1950,58,,,ABLE,1950-08-14 21:00:00,TS,24.1574,-66.1227, , , ,main,639,639,P_____________, ,AL011950,24.1574,-66.1227, ,HU,65, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,340,Aug,1.07,1.07,1.07,25.232561
1950224N17305,1950,58,,,ABLE,1950-08-15 00:00:00,TS,24.4,-66.2,65, ,hurdat_atl,main,653,653,O_____________,hurdat_atl,AL011950,24.4,-66.2, ,HU,65, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,336,Aug,1.07,1.07,1.07,25.232561
1950224N17305,1950,58,,,ABLE,1950-08-15 03:00:00,TS,24.6075,-66.3425, , , ,main,668,663,P_____________, ,AL011950,24.6075,-66.3425, ,HU,65, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,326,Aug,1.07,1.07,1.07,25.232561
1950224N17305,1950,58,,,ABLE,1950-08-15 06:00:00,TS,24.8,-66.5,65, ,hurdat_atl,main,679,679,O_____________,hurdat_atl,AL011950,24.8,-66.5, ,HU,65, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,328,Aug,1.07,1.07,1.07,25.232561
1950224N17305,1950,58,,,ABLE,1950-08-15 09:00:00,TS,25.0074,-66.6201, , , ,main,695,695,P_____________, ,AL011950,25.0074,-66.6201, ,HU,67, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,326,Aug,1.07,1.07,1.07,24.263348
1950224N17305,1950,58,,,ABLE,1950-08-15 12:00:00,TS,25.2,-66.8,70,987,hurdat_atl,main,707,702,O_____________,hurdat_atl,AL011950,25.2,-66.8, ,HU,70,987,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,308,Aug,1.07,1.07,1.07,24.263348
1950224N17305,1950,58,,,ABLE,1950-08-15 15:00:00,TS,25.3651,-67.1274, , , ,main,713,705,P_____________, ,AL011950,25.3651,-67.1274, ,HU,72, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,295,Aug,1.07,1.07,1.07,24.329573
1950224N17305,1950,58,,,ABLE,1950-08-15 18:00:00,TS,25.5,-67.5,75, ,hurdat_atl,main,707,704,O_____________,hurdat_atl,AL011950,25.5,-67.5, ,HU,75, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,293,Aug,1.07,1.07,1.07,24.329573
1950224N17305,1950,58,,,ABLE,1950-08-15 21:00:00,TS,25.6224,-67.8075, , , ,main,707,704,P_____________, ,AL011950,25.6224,-67.8075, ,HU,77, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,290,Aug,1.07,1.07,1.07,24.329573
1950224N17305,1950,58,,,ABLE,1950-08-16 00:00:00,TS,25.7,-68.1,80, ,hurdat_atl,main,707,687,O_____________,hurdat_atl,AL011950,25.7,-68.1, ,HU,80, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,281,Aug,1.07,1.07,1.07,24.329573
