SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,USA_GUST,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR,Month,ENSO_Value_x,ENSO_Value_y,ENSO_Value,SST
1950224N17305,1950,58,,,ABLE,1950-08-19 18:00:00,TS,31.7,-75.5,110, ,hurdat_atl,main,338,296,O_____________,hurdat_atl,AL011950,31.7,-75.5, ,HU,110.0, ,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,5,Aug,1.07,1.07,1.07,22.936575
1950231N12306,1950,63,,GM,BAKER,1950-08-30 00:00:00,TS,24.7,-88.6,90, ,hurdat_atl,main,357,357,O_____________,hurdat_atl,AL021950,24.7,-88.6, ,HU,90.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,347,Aug,1.07,1.07,1.07,25.6847
1950234N11334,1950,65,,,CHARLIE,1950-08-31 12:00:00,TS,32.8,-56.7,95, ,hurdat_atl,main,1406,1392,O_____________,hurdat_atl,AL031950,32.8,-56.7, ,HU,95.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,271,Aug,1.07,1.07,1.07,21.089432
1950243N15304,1950,68,,,DOG,1950-09-05 12:00:00,TS,24.6,-67.7,125, ,hurdat_atl,main,607,607,O_____________,hurdat_atl,AL041950,24.6,-67.7, ,HU,125.0, ,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,325,Sep,1.32,1.32,1.32,25.274477
1950244N20277,1950,69,,GM,EASY,1950-09-05 06:00:00,TS,28.5,-83.3,105, ,hurdat_atl,main,62,48,O_____________,hurdat_atl,AL051950,28.5,-83.3, ,HU,105.0, ,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,42,Sep,1.32,1.32,1.32,22.030354
1950251N16319,1950,73,,,FOX,1950-09-14 18:00:00,TS,24.9,-59.4,120, ,hurdat_atl,main,968,968,O_____________,hurdat_atl,AL061950,24.9,-59.4, ,HU,120.0, ,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,338,Sep,1.32,1.32,1.32,24.86796
1950270N25309,1950,84,,,GEORGE,1950-10-03 18:00:00,TS,32.9,-67.8,95, ,hurdat_atl,main,775,730,O_____________,hurdat_atl,AL071950,32.9,-67.8, ,HU,95.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,348,Oct,1.56,1.56,1.56,20.635746
1950281N23270,1950,88,,GM,ITEM,1950-10-10 18:00:00,TS,19.4,-95.4,90,980,hurdat_atl,main,74,59,O_____________,hurdat_atl,AL091950,19.4,-95.4, ,HU,90.0,980,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,218,Oct,1.56,1.56,1.56,25.740028
1950285N22313,1950,90,,,JIG,1950-10-15 12:00:00,TS,33.0,-59.7,100, ,hurdat_atl,main,1265,1231,O_____________,hurdat_atl,AL101950,33.0,-59.7, ,HU,100.0, ,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,34,Oct,1.56,1.56,1.56,20.894299
1950286N16276,1950,92,,,KING,1950-10-18 05:00:00,TS,25.7,-80.2,115,955,hurdat_atl,main,0,0,O_____________,hurdat_atl,AL111950,25.7,-80.2,L,HU,115.0,955,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,338,Oct,1.56,1.56,1.56,24.915398
1950291N26271,1950,97,,GM,LOVE,1950-10-20 00:00:00,TS,25.4,-89.6,70,987,hurdat_atl,main,405,390,O_____________,hurdat_atl,AL131950,25.4,-89.6, ,HU,70.0,987,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,87,Oct,1.56,1.56,1.56,24.16544
1951136N32292,1951,28,,,ABLE,1951-05-22 00:00:00,TS,36.3,-73.2,80, ,hurdat_atl,main,213,213,O_____________,hurdat_atl,AL021951,36.3,-73.2, ,HU,80.0, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,73,May,0.75,0.75,0.75,17.323282
1951224N12316,1951,57,,CS,CHARLIE,1951-08-20 00:00:00,TS,20.2,-86.7,115, ,hurdat_atl,main,68,38,O_____________,hurdat_atl,AL041951,20.2,-86.7, ,HU,115.0, ,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,290,Aug,0.89,0.89,0.89,27.234041
1951239N12334,1951,62,,CS,DOG,1951-09-02 12:00:00,TS,14.2,-61.1,80, ,hurdat_atl,main,391,391,O_____________,hurdat_atl,AL051951,14.2,-61.1, ,HU,80.0, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,272,Sep,0.99,0.99,0.99,27.151123
1951244N13328,1951,65,,,EASY,1951-09-08 00:00:00,TS,26.2,-67.5,130, ,hurdat_atl,main,780,780,O_____________,hurdat_atl,AL061951,26.2,-67.5, ,HU,130.0, ,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,340,Sep,0.99,0.99,0.99,24.329573
1951246N13340,1951,66,,,FOX,1951-09-07 12:00:00,TS,22.0,-50.7,100, ,hurdat_atl,main,1605,1537,O_____________,hurdat_atl,AL071951,22.0,-50.7, ,HU,100.0, ,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,302,Sep,0.99,0.99,0.99,24.241085
1951272N20274,1951,74,,,HOW,1951-10-04 00:00:00,TS,32.8,-75.7,85, ,hurdat_atl,main,224,190,O_____________,hurdat_atl,AL091951,32.8,-75.7, ,HU,85.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,26,Oct,1.15,1.15,1.15,22.936575
1951288N28284,1951,80,,,JIG,1951-10-15 12:00:00,TS,29.0,-75.5,65, ,hurdat_atl,main,489,489,O_____________,hurdat_atl,AL111951,29.0,-75.5, ,HU,65.0, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,20,Oct,1.15,1.15,1.15,23.946548
1951338N39307,1951,93,,,NOT_NAMED,1951-12-07 18:00:00,TS,34.4,-46.2,70, ,hurdat_atl,main,1478,1478,O_____________,hurdat_atl,AL121951,34.4,-46.2, ,HU,70.0, ,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,216,Dec,0.81,0.81,0.81,20.69069
1952231N15341,1952,54,,,ABLE,1952-08-31 00:00:00,TS,31.7,-80.4,85, ,hurdat_atl,main,52,0,O_____________,hurdat_atl,AL021952,31.7,-80.4, ,HU,85.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,341,Aug,0.0,0.0,0.0,22.75975
1952244N15306,1952,60,,,BAKER,1952-09-07 06:00:00,TS,37.6,-66.0,95, ,hurdat_atl,main,569,564,O_____________,hurdat_atl,AL041952,37.6,-66.0, ,HU,95.0, ,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,52,Sep,0.15,0.15,0.15,18.072832
1952268N20291,1952,69,,,CHARLIE,1952-09-26 18:00:00,TS,30.3,-73.1,105, ,hurdat_atl,main,584,567,O_____________,hurdat_atl,AL061952,30.3,-73.1, ,HU,105.0, ,3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,44,Sep,0.15,0.15,0.15,22.46095
1952281N15309,1952,76,,,EASY,1952-10-08 18:00:00,TS,18.0,-50.4,90,968,hurdat_atl,main,1403,1403,O_____________,hurdat_atl,AL091952,18.0,-50.4, ,HU,90.0,968,2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,44,Oct,0.1,0.1,0.1,25.191166
1952295N11282,1952,83,,CS,FOX,1952-10-24 18:00:00,TS,22.0,-80.9,125,934,hurdat_atl,main,11,0,O_____________,hurdat_atl,AL101952,22.0,-80.9,L,HU,125.0,934,4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,22,Oct,0.1,0.1,0.1,26.526115
